gene_name,logFC,adj.P.Val
Mief1,-2.2,0.779
RP23-25E6.2,2.3,0.781
Kmt2d,1.9,0.776
Dync2li1,3.2,0.8
Ahnak2,3.7,0.801
Nlk,1.5,0.748
Zfp286,-2.1,0.787
RP23-293K21.2,-2.8,0.792
Gap43,-3.5,0.801
Sh3pxd2b,3.7,0.801
AC122423.2,3.1,0.795
Mxra8,-3.6,0.801
Hells,-3.2,0.8
RP23-286M3.4,-2.2,0.792
RP24-127D13.3,3.1,0.801
RP24-456P10.1,-1.6,0.749
Cbx5,1.8,0.747
Myo18b,1.5,0.762
Cep83,1.4,0.75
Atf6b,0.8,0.691
AC139064.2,-4.2,0.801
Crip2,-3.5,0.799
Rpl13a,1.1,0.73
RP24-66I20.1,-3,0.799
Acsbg1,-3.8,0.801
Dpys,3.8,0.805
Atf6,0.99,0.696
Usp14,0.7,0.647
Serf1,-2.4,0.784
Nlrc5,3.5,0.804
AC120859.3,2.1,0.774
Ssh1,1.5,0.757
Prkcq,3.3,0.801
Cd244,-3.1,0.792
N4bp2l1,-0.61,0.621
RP24-544J6.4,-2,0.776
Zfp78,-2.4,0.778
Bahd1,2.5,0.792
RP23-269E5.5,3.9,0.807
Rapgef4,2.5,0.793
Odf2l,2.1,0.776
Sh3bgrl2,-2.7,0.797
Abcf1,0.74,0.627
RP23-106P6.3,3.2,0.801
Gpr89,1,0.696
Rcor3,-1.3,0.71
Plekhh2,2,0.777
RP23-151M22.6,2.7,0.801
Syne2,-3.7,0.804
Zfp784,-2.7,0.801
Apoc4,3.6,0.812
RP23-268P6.1,-3.6,0.807
Arl4c,0.88,0.657
Abcg3,-2.6,0.784
Polr1b,1.9,0.774
Hoga1,2.9,0.806
Zfp329,-1.2,0.732
Cdc25a,1.3,0.746
Cdk18,2.7,0.807
Cxcl10,3.9,0.719
Mapk1ip1,-0.99,0.696
Fam69b,-3.3,0.807
Tspan31,-0.45,0.574
RP23-3M10.10,1.2,0.743
Mfge8,-1.3,0.712
Fam219a,-2.7,0.804
Zfp940,-2.8,0.804
RP24-428N8.5,-2.6,0.792
Zcwpw1,-1.1,0.732
Gpnmb,9.3,0.816
Rap2b,-2.4,0.794
Zdhhc18,-1.3,0.743
Arhgap27os3,-3.1,0.806
Adgre1,-0.42,0.565
Plekhf1,-3.5,0.815
Ranbp2,0.9,0.694
Naa15,-0.93,0.686
Sprtn,2.5,0.793
Ruvbl1,0.78,0.666
Ptn,-3.3,0.768
Olfr110,2.2,0.787
Hcfc1,1.9,0.769
RP23-389K5.5,2.8,0.809
Ntm,-2.7,0.801
Ctnna3,3.8,0.816
Alpk1,-2.5,0.804
Zfp729a,-2.6,0.796
Lgi2,5.7,0.817
Etnppl,-3.6,0.817
Pus7l,-2.5,0.801
Prpf4b,0.62,0.625
RP23-26C21.3,-2.2,0.8
L3mbtl2,-1.1,0.718
RP23-50E10.2,-3.5,0.815
Bmp2,-4,0.816
RP23-271B20.7,-1.6,0.774
Epdr1,-3.6,0.819
Lrrc8b,-3.4,0.814
RP24-456G16.4,0.79,0.651
Cpd,-2.5,0.797
Sash1,-2.7,0.804
AC171273.3,-2.7,0.807
Ulk4,-2.4,0.806
Slc29a2,-3.4,0.814
Tmem216,1.7,0.748
Taco1,-2.4,0.804
Qsox1,-1.6,0.778
Pvr,-1.7,0.769
Rnf4,-0.69,0.635
RP23-293K21.3,-3.3,0.819
Ppm1j,3.1,0.817
F3,-2.4,0.787
RP23-136I22.1,-3.4,0.816
Zfp287,2.7,0.806
RP23-23G3.3,1.5,0.755
Abcb7,-1.4,0.743
Postn,-2.7,0.792
Gltscr1,-2,0.799
Ifi44,-3,0.815
S100pbp,1.5,0.772
Ap4m1,-2.8,0.807
Abhd8,-1.5,0.777
Slc2a6,-3.3,0.811
Slc39a2,4.1,0.82
RP23-179K7.3,1.2,0.748
Htatip2,-2,0.775
Socs2,3.2,0.816
Polr3a,-1.9,0.793
Irf4,-3.3,0.816
Fasn,-2.7,0.804
Cdk13,-1.8,0.769
Fam102a,-1.8,0.779
Zfp955a,-2.6,0.81
Akr1c13,3.3,0.816
AC102609.2,-2.8,0.814
Mettl8,-1.6,0.768
Trp53rkb,1.4,0.749
Aldh1l2,2.8,0.814
RP23-62I23.3,3.1,0.816
Tpm2,-2.9,0.806
Adam8,3.4,0.814
Fermt2,-3.7,0.816
AC118601.3,-3.2,0.816
Plekha2,-0.71,0.648
Tmem220,-3.3,0.823
RP23-303F24.3,-2.8,0.815
RP23-5A19.7,-1.4,0.725
RP23-383F20.5,-2.8,0.81
Ccdc162,-1.3,0.749
RP23-372H6.7,-3.4,0.826
Usp35,1.2,0.741
RP23-3M10.5,-2.9,0.815
Tfcp2,-2,0.777
RP23-64B8.3,3.1,0.823
Xylt1,-2.6,0.82
RP23-16N14.5,2.6,0.812
Dlc1,-1.5,0.778
Frs3,-1.9,0.795
Trim12c,1.5,0.765
Rwdd3,2,0.797
Nbeal2,1.6,0.774
Fxyd6,3,0.829
RP23-336L12.3,-2.8,0.815
Blvrb,0.75,0.625
Fam171a1,2.4,0.809
Armcx5,-1.4,0.748
Arhgdia,0.56,0.6
Thbd,-3.2,0.829
Pcdhga5,-3.1,0.831
Gja1,-3.7,0.801
RP23-464E7.4,-2.3,0.812
RP23-235I2.3,-2.9,0.812
Rab35,1.2,0.754
Rps19-ps6,1.2,0.761
RP23-353M5.2,-3.1,0.83
Zbtb33,2.1,0.797
Stard4,2.8,0.827
Sigirr,-3.3,0.827
Sema4a,-1.5,0.758
RP24-309L4.3,-3.1,0.826
Cystm1,-3.5,0.831
Atp6v0d2,3.8,0.829
Anln,-3.3,0.833
Klrk1,-3.3,0.827
Mettl16,1.3,0.718
Cd40,-3.1,0.823
Rabif,-0.95,0.689
Thap2,2.2,0.801
Serpinb6a,-1.9,0.777
Galnt3,2.3,0.806
Dynll2,0.78,0.656
Csrnp2,-2.4,0.806
RP23-200C3.1,-1.7,0.778
Slc25a43,-2.4,0.826
RP24-570M12.3,2.7,0.815
RP24-212D8.2,-2.5,0.809
Bsn,-2.5,0.818
Ypel1,-3.3,0.832
Ptpn21,2.6,0.812
Tmem143,-2.3,0.811
Bms1,1.3,0.759
Plppr4,2.9,0.832
Tssc4,-0.76,0.68
Cercam,-2.3,0.814
Tnfrsf13c,-3.1,0.839
Naa16,-0.88,0.704
Ptprcap,-3.3,0.83
Mief2,-2.1,0.809
Myo10,1.9,0.802
RP23-388I12.2,-1.8,0.807
Olig1,-3.6,0.84
Hps5,-1.1,0.732
Iqsec2,-1.7,0.786
RP24-90K19.4,2.6,0.839
Ing4,-3.2,0.842
Uggt2,-3.2,0.829
Tnfsf10,2,0.801
Pou5f2,-3,0.832
RP24-144G20.2,-3.3,0.84
Lbhd1,2.9,0.827
Txnl4b,-2.4,0.82
Cdca3,-3.1,0.84
Kremen1,-2.4,0.823
RP23-390D8.2,-2.9,0.829
Rpl36a-ps2,1.5,0.804
RP24-328P2.5,2.5,0.815
Erh,1,0.754
Cck,3.8,0.84
Phlpp2,-2.7,0.827
Lipo1,0.89,0.679
Cd300ld,-2.4,0.807
Sfrp5,-3.3,0.846
Adgre5,-3.4,0.84
Tctn1,-1.9,0.807
Zfp583,-2.3,0.811
Lonrf1,-2.7,0.839
RP23-438D7.4,1.4,0.8
Trip13,-3.1,0.84
Hddc3,-2.3,0.801
Zfp558,-2.6,0.817
RP23-20F10.1,3,0.845
RP23-95L9.6,-2.8,0.826
Brpf3,2.6,0.831
Rasl11a,-3.1,0.844
Fancm,2.7,0.831
RP23-225M12.1,-3,0.833
AC161037.2,-2.2,0.814
Kctd5,-0.93,0.686
RP23-99D11.4,-2.4,0.829
Gpr171,-2.8,0.844
Dhx34,-0.93,0.718
Hfe,-0.56,0.607
Morn2,1.5,0.762
Ipo7,-2.1,0.803
Ahrr,2.8,0.841
Cenpa,-4.5,0.827
RP23-480P21.3,2.9,0.837
Gpr37,-3.3,0.849
Cd300c,-2.6,0.839
Lpgat1,0.79,0.693
Ncoa7,1.9,0.797
Tcf20,2.6,0.831
Cdkl3,-2.2,0.816
Eif2ak2,-2,0.775
RP23-423B1.6,2.7,0.845
Cspg4,2.6,0.849
Slc22a4,-3,0.842
RP23-17J18.2,-2.8,0.84
Lclat1,-2,0.806
Hspa12a,-2.6,0.829
Fam193b,1.4,0.754
Nkx6-2,-2.8,0.847
Mus81,-1.1,0.734
Aldh3b1,-1.2,0.71
Slc9a9,-0.75,0.627
Zxdc,-1.2,0.732
Srgap3,-2.7,0.85
Ascl2,2.5,0.826
Aqp4,-2.7,0.839
RP24-367P22.1,2.6,0.845
Fcer1g,0.35,0.503
Lsamp,-2.8,0.831
Cd19,-3,0.852
Iqck,2.8,0.841
RP24-483G17.1,-1.4,0.761
Stxbp1,-1.5,0.784
Acsf3,2.4,0.832
Dclre1a,-2.8,0.823
RP23-451A12.1,2.8,0.842
RP23-418O21.3,2.6,0.818
RP23-374K9.4,2.1,0.814
RP24-266E2.1,2.7,0.847
Snx25,1.3,0.768
N4bp3,-2.7,0.847
Plac8,-5,0.84
Arhgef7,1.6,0.775
Ly6i,-2.5,0.84
Trim59,2.8,0.832
RP23-117H14.1,-3.1,0.844
Atp5s,-0.83,0.679
Cd8b1,-3.2,0.855
Zfp612,-2.7,0.851
Gins4,-0.92,0.686
Acad11,1.4,0.774
Mxra7,-2.3,0.815
Grhpr,-1.1,0.75
Itgae,2.6,0.829
RP24-230L5.3,-2.7,0.827
Slc16a9,-2.3,0.829
Tbc1d12,-2.2,0.814
Tlk2,-1.3,0.756
Bbs2,-2.3,0.814
Chp2,-2.8,0.859
Srl,-2.7,0.827
Ppfibp1,-1.8,0.778
Stk40,-1.2,0.74
Twsg1,3,0.837
RP23-372N15.4,2.6,0.832
Srcap,2,0.825
RP23-3F1.4,3.1,0.844
Ndp,-2.6,0.864
Map4k1,2.6,0.839
Acadl,0.65,0.648
Olfm4,2.7,0.819
Mog,-2.7,0.861
Glrx,1.1,0.765
Slc16a8,2.8,0.863
Dhx32,0.74,0.666
Nod1,-1.3,0.76
Gramd3,-2.6,0.816
Zfp7,-2.7,0.867
Zcchc3,2.3,0.821
Trub2,-1.4,0.775
Mettl20,2,0.801
Nt5c3,-0.99,0.694
RP23-411N10.2,-2.6,0.84
RP23-68H24.4,-2.4,0.844
Pdgfc,2.8,0.851
Tppp3,-3,0.849
Zswim8,-1.5,0.801
St3gal3,-2,0.809
Ap1g2,-0.98,0.725
Cxcr3,-2.1,0.815
Prdm11,1.7,0.799
Slc43a3,-3,0.84
Prkaa2,-2.3,0.832
RP24-227F14.5,2.2,0.839
Prune2,1.6,0.762
Lsm11,-2.2,0.806
RP23-453O8.7,2.6,0.837
Slco1a4,-2.6,0.874
2700046G09Rik,-2.4,0.839
Rasal2,1.3,0.755
Gstcd,2.3,0.829
Mkl1,1.3,0.792
RP23-250K15.2,2.6,0.827
Crocc,-2.8,0.852
Atxn1,1.7,0.777
Mpp7,2,0.812
RP23-334M3.7,-2.4,0.82
Ptrh1,-2.9,0.852
Pmp22,0.5,0.565
Tango6,2.5,0.832
Ehd1,-2,0.804
Gm21887,-1.8,0.82
RP23-161B9.10,-2,0.815
Nt5dc2,-1.2,0.725
Sat2,-2.1,0.815
Iglc3,-2.9,0.871
Exoc3l4,2.6,0.865
Panx1,-2.8,0.814
RP23-393E10.2,-2.5,0.857
RP24-227F14.1,2.7,0.868
Xab2,-0.82,0.676
RP23-175C13.1,-1.4,0.814
Lrrc41,-0.86,0.669
Psat1,1.2,0.725
Ppm1e,-2.4,0.863
Aspa,-3,0.856
Inca1,-2.5,0.841
Reep5,-0.65,0.655
Rpl31-ps8,1.1,0.767
Zfp568,2.9,0.84
Casz1,2.3,0.835
Kdf1,-2.7,0.87
Mfsd9,-2.7,0.862
Def8,-1.7,0.804
Tmem267,-2.8,0.855
Ldhb,-0.42,0.546
Homer3,-1.6,0.804
Lancl2,-2.5,0.874
Pcdhga2,2.6,0.867
RP23-230O9.4,-2.7,0.853
Nedd4,-2.6,0.871
RP24-194N1.2,-2.7,0.868
Hpse,2.8,0.851
Rad18,2,0.814
Lrguk,2.6,0.841
Mplkip,-0.84,0.675
Dpy19l3,-2.6,0.842
Tppp,-1,0.696
Cmtm8,0.91,0.696
RP24-122N24.2,-2.6,0.84
RP24-500I24.5,2.3,0.853
Cxcl14,-3,0.839
Lrriq3,2.8,0.842
Eml5,2.4,0.862
Plxdc1,-0.83,0.677
Cxcl13,6.3,0.878
Arfgef2,1.4,0.792
Mybph,-2.2,0.842
RP23-393I12.1,-2.3,0.853
Trmt1l,-0.71,0.647
Nepro,-2.3,0.842
Exo5,-1.3,0.74
Edil3,-2.5,0.883
Tmem8,-2.4,0.839
RP23-124N16.6,-2.6,0.84
Ufsp1,-2.5,0.827
Ska2,-2,0.814
Serpinb1a,-2.7,0.886
Dnal1,2.4,0.857
Rassf8,-2.4,0.837
Mmp12,5.5,0.879
Fuz,-2.2,0.853
RP23-345D18.4,2.5,0.858
Hmgcs1,-1.3,0.737
Syt3,-1.9,0.831
Smim10l1,0.79,0.666
Anxa2,2.5,0.839
Pde6d,-0.78,0.686
Pgap2,-1,0.718
Rab11fip3,-2.2,0.847
Snx9,1.4,0.78
RP23-50E10.3,-2.4,0.859
RP23-293K21.1,2.4,0.837
RP23-71E4.2,-2.4,0.882
Zfp994,-1.1,0.722
Ms4a1,-2.6,0.887
Zfp574,-1.2,0.739
Hist1h2bg,1.9,0.828
RP24-146I24.6,2.1,0.869
Chd3os,1.3,0.757
Rad54l,2.4,0.864
RP23-255N20.2,2.2,0.84
Il18,-0.71,0.648
Fxyd1,-2.4,0.876
Kynu,2.9,0.864
Purg,-2.3,0.862
RP23-50E10.4,-2.7,0.871
Wdhd1,-2.5,0.862
Gstt1,-2.5,0.872
RP24-87P2.3,2.3,0.872
Stx3,2.4,0.841
Snx11,-1.3,0.767
Gmeb2,-1.7,0.827
Spaca6,2.4,0.845
Rsph9,2.4,0.856
Vps54,-0.87,0.709
Stmn4,-2.3,0.892
Edem3,-1.5,0.779
Tcap,5,0.887
Fbxl14,-1.1,0.754
Med14,-1.7,0.815
Slain1,-2.1,0.898
Eno1b,1,0.745
Tspan2,-2.1,0.893
RP23-354E8.2,-2.4,0.854
Tuft1,-3.1,0.853
RP23-349H12.7,-2.7,0.867
Top2a,-3,0.881
Tet1,-2.1,0.815
RP23-344O11.3,-2.3,0.897
RP23-7M16.2,2.5,0.862
Pllp,-2,0.9
Gimap4,-2.6,0.879
RP24-403B15.1,-2,0.839
Nt5dc1,0.94,0.718
Lhpp,-1.7,0.814
Cmpk2,-2.6,0.864
Itih5,-2.4,0.889
Antxr2,2,0.879
Lyrm1,-2,0.814
Zfp948,-2.1,0.877
Iglc2,-2.4,0.898
Rpusd3,1.3,0.804
Gzmb,-2.2,0.906
Prrg2,-1.4,0.799
Irgq,-2,0.832
Snf8,0.72,0.684
Acy1,-1.2,0.737
Tfdp2,1.5,0.777
Mfap3,-0.61,0.62
Ndrg1,-2.1,0.896
Hsd17b7,-2.2,0.851
Clip2,2.1,0.84
Npnt,1.2,0.762
Zdhhc1,-1.3,0.761
Pclaf,2.2,0.895
RP24-175C20.10,-2.2,0.829
Rpl27-ps2,-2.4,0.874
Csf2rb,0.93,0.698
Zfp27,1.9,0.812
Tmeff2,-2.1,0.906
RP24-302F18.2,-2.3,0.827
Psph,-1.1,0.734
Snord72,-2.1,0.853
RP23-15O6.1,-1.4,0.811
RP23-407B23.1,2.1,0.89
Ccl25,-2.5,0.832
Grb14,-2.2,0.896
Huwe1,1.1,0.73
RP23-46L17.5,2.3,0.872
Traf3,1.5,0.769
Anks1,1.4,0.758
RP23-278O17.1,-2.1,0.887
Pex26,-1.8,0.826
RP23-353K7.9,-1.5,0.788
RP24-81A5.3,-2.1,0.867
RP23-173N16.6,-2.3,0.839
Mageh1,-2.1,0.837
Tm7sf2,-2.5,0.839
Fa2h,-2,0.913
Fam214a,1.1,0.737
Zbtb6,-1.5,0.8
Opn3,-2.2,0.899
Habp4,-1.5,0.779
Klhl20,-1.7,0.807
Cbx3,1.4,0.804
Acaa2,0.9,0.692
Pyroxd1,-1.9,0.815
RP23-441L19.1,2.1,0.849
Zfp983,2.3,0.844
Xkr9,2.1,0.908
Chst11,1.8,0.792
mt-Co1,0.68,0.605
RP24-321N12.1,1.8,0.829
Gas2l3,-2.5,0.852
Ddah1,-2.4,0.874
Map3k7,0.94,0.704
Raly,-2.2,0.874
Hirip3,1.6,0.793
RP23-403G9.6,-2,0.821
Ccdc157,-2,0.899
Hmga1,-1.3,0.814
RP23-201L15.5,2.2,0.886
Hhip,-1.9,0.921
Nrsn1,-2.4,0.859
RP23-7E4.3,-2.2,0.904
Slfn9,-2.4,0.853
Tspan6,-1.9,0.924
Lrrc8c,-2.1,0.889
Ccdc15,-2.9,0.856
A430046D13Rik,1.3,0.762
Xk,2.1,0.883
B4galt4,-0.65,0.624
Dhrs4,1.1,0.747
Zc3h12b,2.1,0.9
Asb11,2.5,0.915
Dna2,2,0.883
Itga4,-2.2,0.865
Snhg4,2,0.829
Adgrg5,-1.6,0.927
Slc12a4,1.1,0.755
Spdl1,2.1,0.892
RP23-370B22.3,-1.9,0.919
Ispd,1.8,0.922
Slc30a9,-0.91,0.68
Lmln,-2.2,0.827
AC139063.2,2,0.835
Rgp1,-2.3,0.851
RP23-7M16.1,2.1,0.886
Tjap1,1.1,0.75
RP23-480I16.1,-1.8,0.914
Card11,2.1,0.858
Ly6d,-5,0.907
Klra8,-1.8,0.931
Sec22c,2.1,0.868
RP24-535E21.4,-2.1,0.864
Loxl3,-1.3,0.769
RP23-448G18.4,-1.6,0.93
Lrrc14b,1.6,0.927
Prox1,-2.2,0.847
Eml6,2.1,0.831
Ebf3,-1.9,0.829
Ly6k,-2.6,0.864
Igkc,-2.2,0.927
Scfd2,-1.7,0.816
Prkab2,-2.2,0.846
Pkd2,1.5,0.769
Aqp11,-1.7,0.932
Gca,-2.3,0.827
Zfp235,-1.2,0.776
Fgfr1,1.9,0.874
Dlg5,2.2,0.878
Trerf1,2,0.877
Prf1,-1.7,0.936
Ccdc71,-1.2,0.791
Ezh2,-2.2,0.832
Chd4,0.91,0.669
Abi3bp,1.7,0.93
Ago4,1.7,0.801
Nap1l5,-2.2,0.872
RP23-168E14.4,-2.4,0.853
Fbxo44,-2.1,0.915
Esco2,1.8,0.925
Asb6,-0.87,0.708
Tarsl2,1.9,0.895
Slamf7,2.4,0.839
Entpd6,-1.4,0.803
Sfxn4,1.4,0.769
RP23-67C3.2,-2.2,0.837
Kif20a,2.1,0.899
Ppp1r1a,1.5,0.932
CAAA01194877.2,-2.1,0.842
Hectd2,-2.3,0.879
RP24-178N19.2,1.6,0.93
Tstd2,-1,0.74
RP24-259P13.3,-1.7,0.916
Oas2,-2,0.897
RP24-344N22.1,1.7,0.891
Ncr1,-1.4,0.943
Etohi1,-1.9,0.891
RP23-352D23.1,-1.7,0.906
Serpinb6b,1.6,0.938
Tusc3,0.85,0.719
Ear2,-1.3,0.946
Gria2,-1.9,0.925
RP24-64D24.4,1.6,0.666
RP23-383F20.7,2.2,0.841
Slpi,1.4,0.942
Spata1,-1.7,0.816
RP23-322E23.8,1.5,0.932
Igsf1,-1.3,0.943
RP23-459L15.8,1.9,0.881
Rpl7a,0.7,0.646
Fen1,-1.1,0.71
Egln3,1.9,0.886
Klrb1b,1.8,0.931
Rnd2,-1.9,0.902
Elovl6,-1.8,0.916
RP23-246F18.8,2.2,0.878
RP23-44N5.4,2.2,0.879
RP23-467K15.2,-2,0.831
Sirt1,1.3,0.744
Ccl5,4,0.886
RP23-423G13.11,-2.3,0.858
RP23-282C23.7,-0.91,0.725
Pank3,1.5,0.758
Homez,1.3,0.768
Znrf3,-1.7,0.829
Ttll7,-1.9,0.919
Atpaf1,1.7,0.837
Nupr1l,-2.1,0.917
RP23-247J17.2,-1.5,0.814
AC116151.2,2.1,0.864
Jpt2,-0.87,0.7
RP23-72M20.6,1.4,0.937
Iqgap2,-1.7,0.919
Aurka,1.7,0.924
Cd3g,1.2,0.948
Aldh1a1,-2.3,0.849
Cul1,-0.52,0.603
RP24-142B15.7,-1.6,0.928
Trbc1,1.6,0.944
RP23-204C16.2,-2.1,0.855
Lrrn2,-1,0.962
RP23-355K21.4,2,0.896
B9d1,-1.9,0.93
Ranbp3l,1.5,0.935
RP24-417N13.7,-2.1,0.849
Pank1,2.5,0.859
Ptrf,-1.1,0.952
RP23-288L22.4,-1.6,0.936
Fam64a,-1.1,0.964
Asb4,-0.92,0.965
Lekr1,-1.6,0.913
Efemp2,1.6,0.801
Cxcl9,1.3,0.953
Slc6a1,-2.7,0.86
Arl4d,2.1,0.801
Fzd5,-2,0.868
Xrcc3,-1.8,0.93
RP23-192P10.3,-1.4,0.936
Gper1,0.99,0.96
Anks6,-1.5,0.801
Derl3,1.1,0.948
RP23-229N10.4,-1.9,0.852
Zmynd19,1.8,0.896
Lcor,0.96,0.733
Opalin,-1.7,0.935
RP24-252G15.5,2.1,0.874
RP23-157G2.1,0.99,0.959
Mpzl1,-1.2,0.953
RP24-83P13.2,-2,0.853
Gzma,-3,0.96
Cd3d,1.1,0.959
Il1r1,-1.8,0.886
Trmt10b,-1.5,0.788
Ackr3,1.9,0.917
Ermn,-1.5,0.944
Clec4b1,-2.1,0.898
RP24-544J6.2,-1.6,0.815
Iigp1,-1.9,0.899
Cd55,-1.3,0.943
Gnao1,-1.2,0.954
Aplp1,-3.1,0.829
Casc5,1.6,0.938
Spp1,9.6,0.926
Impdh1,-1.9,0.859
RP24-448D10.1,1.6,0.927
Zfp512b,-2.2,0.878
RP24-281E22.3,-1.8,0.902
Wipi1,-1.8,0.878
RP24-282D16.9,-0.49,0.987
Ecsit,-1.1,0.733
Ugt8a,-0.49,0.987
RP23-239I17.1,-1.2,0.943
Elovl7,-1,0.962
Cdkn2b,-1.9,0.928
Cdc25c,-0.49,0.987
Tex12,-0.49,0.987
Fam83d,-0.49,0.987
Dnm3,-2,0.872
Sardh,-2.1,0.872
Clec4e,-0.49,0.987
RP23-131A6.1,-0.49,0.987
S100a9,-0.49,0.987
Fasl,-0.49,0.987
Ube2c,-0.49,0.987
Dhx37,-1.9,0.864
St3gal1,2.1,0.879
Rabl3,-1.7,0.867
Hmgb1-ps8,1.4,0.933
RP23-214M22.2,1.9,0.864
Spcs3,-0.64,0.625
Hip1,-1.9,0.872
Ccnb1,-0.49,0.988
Cenpn,-1.8,0.928
RP23-4F16.10,1.8,0.894
Gnptab,-1.4,0.801
Tgfbi,-0.75,0.678
Tmem29,-1.1,0.73
Klra2,-1.5,0.93
RP23-128L22.3,0.76,0.978
2010015M23Rik,-1.7,0.915
Cdca8,-2,0.924
Anxa1,0.54,0.987
Mark4,1.8,0.839
RP24-86I23.4,1.2,0.943
RP23-380F8.3,1.1,0.954
Olfr111,2,0.858
Lpar1,0.24,0.99
RP23-232K16.4,0.098,0.997
RP23-49C8.7,-0.52,0.987
Slc39a1,-1.8,0.857
RP23-119H17.2,0.7,0.979
RP23-203A12.2,-1.4,0.931
RP24-372P19.1,-2.3,0.847
Cep55,-0.31,0.99
RP24-173G12.1,-1.7,0.922
RP23-174K7.2,2.3,0.873
Pde4dip,-0.99,0.715
Pon3,0.51,0.603
Cc2d2a,-2,0.851
Bcar3,-1.8,0.896
Senp5,1.6,0.829
Nusap1,0.44,0.987
Samd4,0.24,0.99
AC124550.2,1.7,0.892
Xlr4c,0.71,0.974
Gsta4,-1.9,0.919
Hexim2,2,0.851
RP24-421E18.7,2,0.883
Rai14,1.7,0.86
Ndc80,0.78,0.972
Smpd1,-0.74,0.685
Paqr5,1.4,0.93
Klrb1c,-0.56,0.986
Coq3,1.1,0.736
Car9,-2,0.923
Diexf,-2,0.846
S100a8,0.58,0.987
Itgal,0.032,0.999
Lck,0.82,0.967
Cic,1.4,0.829
Sipa1l3,-1.5,0.897
Fam122b,-1.7,0.92
Arhgap21,-2,0.879
Prc1,1.7,0.938
Lipc,0.76,0.973
RP24-252G15.3,-0.92,0.962
Rftn2,-1.5,0.93
Usb1,-1.3,0.814
RP23-17C2.4,1.6,0.776
Fyttd1,-0.72,0.669
RP24-230L5.2,-1.9,0.847
Rragd,1.3,0.934
Chaf1b,1.6,0.932
Nfib,-1.7,0.899
Tmem221,-1.3,0.797
Csnk1g1,-1.4,0.806
Mir155hg,1.7,0.936
RP24-354I16.2,1.1,0.949
RP24-74O18.2,2.1,0.864
RP24-142B15.8,-0.84,0.97
RP23-395H6.2,-2,0.841
Atp9a,1.7,0.888
Zfp273,-2.3,0.831
Cenpm,-0.031,0.999
RP23-4P23.3,1.1,0.793
RP23-156A3.2,-0.31,0.99
Haus7,1,0.716
Rad51,0.093,0.997
RP23-184M4.4,-2,0.881
Agbl5,1.5,0.839
Cd80,-1.7,0.864
RP24-340P22.5,-1.6,0.923
Napsa,-2.1,0.928
Cdc6,0.56,0.987
Ttc14,-0.65,0.648
Zfp128,-1.3,0.761
Dhx40,-1.3,0.809
Rgs12,-1.7,0.924
Rrm2,0.34,0.99
Zbtb10,1.8,0.865
Klre1,0.19,0.993
Sfxn5,-1.3,0.936
Zfp346,-1.7,0.815
Cald1,1.3,0.943
Zfp661,2.1,0.864
RP23-453B15.7,-2.1,0.833
Olfr920,0.62,0.982
Reps2,0.97,0.953
Tmem231,1.7,0.922
Traf1,0.76,0.978
Adcy3,-2,0.851
Zpbp,0.81,0.975
RP23-468D17.1,-1.3,0.799
Vstm4,-1.1,0.952
Cep72,-1.8,0.903
RP23-74N13.2,-1.9,0.893
RP23-375N21.1,-1.7,0.924
Car14,-1.6,0.93
Nkg7,-0.98,0.987
Vtn,-0.17,0.993
RP23-100C5.11,2.1,0.878
Fads6,0.96,0.962
Kcp,2,0.887
Pms2,1.2,0.764
RP23-397H18.5,1.5,0.923
RP23-419P16.7,-1.6,0.927
AC157584.1,-0.84,0.963
AC116718.1,2.2,0.847
Kctd3,-1.9,0.787
Catsperg1,-0.89,0.962
Lyrm4,2.2,0.915
RP23-428L14.1,1.3,0.826
Riok3,0.7,0.68
Oas1c,-0.56,0.987
RP23-477C13.3,-1.9,0.878
GRp18,1.7,0.902
RP23-316L10.3,-2.3,0.874
RP24-88J19.4,-1.9,0.864
AC093451.2,-0.31,0.99
Amica1,-0.7,0.977
Gabrb1,-0.14,0.994
Fam171b,-0.73,0.977
Pbk,0.49,0.987
Gfod2,-1.8,0.883
Efr3b,0.56,0.984
Pcp4l1,-1.6,0.93
Fbxo10,-1.8,0.847
Tk1,-2.1,0.864
CH25-309J2.2,-1.8,0.894
Zcchc4,-1.4,0.761
RP23-167G19.12,-2,0.853
RP23-231L15.4,1.8,0.886
RP23-307F3.6,0.52,0.987
Ss18l1,-1.8,0.841
Ttc30b,-2.1,0.847
RP23-241N10.4,-0.082,0.997
Nudt12,-1.1,0.944
Ctsw,-0.27,0.99
Lamc1,1.2,0.94
Dact1,-1.8,0.881
RP23-335C9.1,-1.8,0.886
Atp6v0e2,0.064,0.998
Nkrf,-0.85,0.965
RP23-26N21.1,-2.1,0.864
Yeats4,-1,0.719
Zfyve9,1.7,0.829
Rsad1,-1.7,0.892
Ehhadh,-1.7,0.827
Hmgn5,-1.5,0.92
RP23-440J5.8,-0.097,0.997
Krt10,1.7,0.819
Lrp4,1.9,0.879
Rgs5,-0.37,0.99
1110020A21Rik,0.71,0.979
RP23-168E14.7,-0.48,0.987
RP24-378G4.6,1.7,0.92
Fam8a1,-1.5,0.816
Ifitm6,-0.061,0.998
Ccdc167,1.2,0.79
Rcan3,1.2,0.771
Cnbd2,-1.5,0.915
RP24-330M21.1,-1.6,0.898
RP23-54G12.5,-1.1,0.949
Vars2,-1.7,0.864
Qprt,1.8,0.829
