gene_name,logFC,adj.P.Val
Ccdc117,-0.79,0.586
Abhd4,0.67,0.523
Car11,2.1,0.747
Coro1c,0.75,0.572
Ercc8,-2.2,0.714
Arhgap18,1.2,0.637
RP23-50E10.4,4.2,0.768
Ramp2,-2.5,0.749
Pomgnt2,-1.6,0.7
RP23-410L16.8,-2.9,0.764
RP24-146I24.6,-3.3,0.768
Mgea5,-0.9,0.578
Nat1,3.8,0.766
C730034F03Rik,3.1,0.757
AC127556.10,-2.6,0.757
Tceanc2,1.1,0.634
RP23-203A12.2,3.6,0.768
Elovl7,4,0.77
Ovca2,2.8,0.757
Plpp3,3.3,0.747
Nr3c2,3.4,0.765
Cep290,-1.2,0.629
RP23-298M23.7,-3.5,0.768
Zfp939,2.7,0.753
Ears2,2,0.703
Ube4a,-1,0.65
Sesn3,3.4,0.768
RP24-467O4.1,2.1,0.755
Usp11,-1.2,0.667
RP23-338G5.4,-1.8,0.735
Trim30c,2.6,0.764
Kdf1,3.7,0.772
Pcsk4,3.2,0.765
RP23-462C22.5,3,0.767
Pik3ip1,2.6,0.742
Ifitm2,1.9,0.737
Ldlr,2.5,0.749
Slc35d1,2.5,0.755
Mllt10,-1.1,0.619
Taf11,1.6,0.681
RP23-288M4.1,-2.5,0.735
Thap12,1.3,0.663
Rsrc2,-0.49,0.496
RP24-448C16.7,2.2,0.754
Cpsf7,-1.4,0.681
RP23-108H23.2,-3.4,0.775
Rab11fip5,-1.1,0.645
Rpl27-ps2,3.9,0.778
Snhg3,-1.1,0.61
Rpap2,1.4,0.67
Atad5,3.4,0.767
RP23-431M7.4,-2.1,0.753
RP23-23B10.4,2.8,0.767
Ccdc163,-2.4,0.757
Mesdc1,-1.9,0.757
Gria2,-4.1,0.78
Cdc20,5.4,0.78
Polr3g,2.3,0.743
RP23-303C8.6,-1.1,0.664
Nat6,-0.89,0.619
RP23-335F6.3,2.1,0.751
Esrra,-1.6,0.703
Klc1,1.1,0.633
Xrcc2,2.7,0.759
RP24-345A14.4,-2.1,0.751
G0s2,3.2,0.767
Sept1,3,0.768
Cdc45,-3.3,0.776
Ocrl,-2.4,0.757
Rgs18,3.9,0.778
Dyrk4,-1.6,0.699
Scg3,3.8,0.778
Commd8,-0.49,0.475
RP23-418O21.3,-3,0.764
Kitl,2.3,0.75
RP23-158C15.8,-3,0.768
Slc25a22,-1.6,0.729
Acbd4,2.1,0.757
RP24-416M6.5,-3,0.769
RP23-167L1.2,3.3,0.777
Spice1,-2.5,0.745
Ociad2,-3,0.772
Pyurf,2.2,0.757
RP24-501J23.1,2.6,0.768
Kcng2,2.8,0.774
Anapc16,0.79,0.567
Cep57l1,-1.6,0.706
Fignl1,3.4,0.775
Plxnc1,3.6,0.79
Epb41l4aos,-2.1,0.757
Klhl28,-1.4,0.678
Stx11,3.7,0.792
Tmem94,-2,0.748
Fgf1,3.1,0.791
Tm7sf2,3.2,0.768
Gramd3,2.9,0.76
Otub2,3.1,0.785
RP23-117O11.4,-2.2,0.751
Ssx2ip,2.1,0.757
Agrn,3.5,0.785
Pbdc1,0.83,0.577
Amica1,3.4,0.792
Clec1b,-2.7,0.763
RP23-464E7.4,2.4,0.765
Zfp729a,2.6,0.757
RP23-73F23.5,-1.9,0.757
RP23-242O9.1,1.7,0.729
Efr3b,3.3,0.795
Mocs1,2,0.768
Ndufaf4,-0.86,0.576
RP24-414A22.1,2.9,0.772
Zfp945,1,0.616
Cck,4.4,0.795
Mrpl21,0.9,0.594
Tarbp2,1.7,0.751
Actn1,2.4,0.768
Prkdc,-2.9,0.762
Pycr1,3.3,0.789
Pcx,2.6,0.78
Plekha1,0.75,0.568
RP23-62I23.3,-3.1,0.792
Lgi2,5.7,0.8
Fez1,4.1,0.794
Magi3,2.8,0.772
AC162689.1,-2.1,0.762
Smim14,0.58,0.49
WI1-955B2.1,-2,0.764
Zfp689,2.8,0.782
Rnase12,-2.8,0.775
Fam109a,-1.5,0.713
Papd5,-1.3,0.7
Bex2,2.7,0.792
Pom121,1.4,0.697
RP23-165H7.2,3.3,0.795
RP23-206D14.1,1.9,0.739
Angptl6,2.3,0.757
Zfp948,2.7,0.788
Hipk2,-1.9,0.755
Mcm5,2.3,0.761
Zmynd19,-2.9,0.794
Gm10644,3.3,0.793
Ifit3,7,0.776
Cmss1,2.1,0.77
Samd4,3.2,0.805
RP24-79F8.3,2.4,0.778
Rnd2,3.1,0.796
Thap6,2.9,0.772
Acot1,-3.5,0.796
Plbd1,-5.4,0.785
Dusp26,3.4,0.805
Tfec,3.1,0.803
Kcnk1,3.5,0.803
Bivm,1.8,0.742
RP23-354E8.2,3.1,0.795
Mobp,3.4,0.767
Lrriq3,-3.2,0.785
RP23-225D24.1,3.1,0.793
Uhrf1bp1,-1.7,0.718
RP24-66I20.1,-2.8,0.791
Peli2,-1.3,0.663
Rps11-ps1,2.6,0.785
RP24-142B15.5,3,0.792
Furin,1.5,0.73
B9d1,3.6,0.8
Atp11a,2.3,0.768
RP23-54G12.5,-3.3,0.805
Depdc5,-1.8,0.725
Mettl20,-2.4,0.758
RP24-270O22.1,2.6,0.793
Rasgrf2,2.7,0.792
Pvrl4,1.9,0.743
Stam,1.2,0.664
Pear1,2,0.762
RP23-480I16.1,3,0.805
Tex14,-2.6,0.777
Fgfr3,3,0.805
Gpc5,-3.3,0.805
AC122291.2,-1.2,0.718
Topbp1,1.5,0.706
Klf15,2.9,0.794
Tubb2b,-1.7,0.757
RP24-302F18.2,2.7,0.77
Cep72,3.1,0.799
Sbno2,-1.4,0.644
Myef2,1.7,0.755
Pdcd10,-0.66,0.554
Aatk,-2.6,0.792
Mon2,-1.3,0.619
RP23-253N17.1,1.4,0.681
Ints5,2.1,0.757
Map4k5,-0.86,0.612
Diexf,2.5,0.771
AC171273.3,2.7,0.786
RP24-309L4.3,3.2,0.805
Pggt1b,-1.3,0.614
S100b,2.9,0.772
Tmod2,3.1,0.807
Cyp2j9,3.3,0.81
Eml5,2.9,0.805
Fam129c,2.8,0.785
Thoc2,-0.63,0.532
Enpp2,3.7,0.805
RP24-259F16.5,3.2,0.822
RP23-21E23.2,-1.8,0.73
RP23-103E11.5,2.6,0.785
Gna13,-0.72,0.521
Ptprcap,3.4,0.805
Tagln3,3.3,0.807
Gatad1,-1.2,0.714
Bahd1,-2.4,0.77
Klhl12,1.6,0.703
RP23-250G8.13,1.7,0.757
Scfd2,2,0.761
Chd3os,-1.4,0.688
RP23-317N1.2,2.1,0.743
RP23-209N19.1,2.6,0.799
Ptrf,2.9,0.823
Wdr45,0.96,0.653
Cd209d,3.5,0.805
RP23-353J21.9,-1.3,0.678
RP23-453O8.7,-2.9,0.795
Tcf12,1.3,0.681
Fam134a,0.84,0.582
Ccr3,3.2,0.814
Hs2st1,-1.1,0.635
RP24-238B3.4,1.8,0.733
Atp1b4,2.7,0.801
Fxyd6,2.9,0.825
Cd99l2,1.7,0.706
Apoc4,3.1,0.826
Tcf20,-2.7,0.799
Lyrm4,-3.9,0.808
Mbnl1,-0.54,0.482
Dhrs13,3.1,0.824
Thnsl1,2,0.764
Usp31,-2.5,0.783
RP23-246F18.8,-2.9,0.801
Ddx5,-0.46,0.453
RP23-228H14.6,3,0.823
Mdm1,-2.2,0.756
Zbtb46,2.5,0.785
Asb11,3.9,0.827
RP24-282C4.9,-2.5,0.788
Lpp,1.2,0.663
Agt,-4.6,0.8
Ubxn4,0.56,0.514
Eif5a2,-2.7,0.775
Ptrh1,3.2,0.808
Lsamp,-3,0.805
Otud3,2.6,0.792
Osbpl3,2.1,0.768
Ddx54,1,0.632
RP23-411M4.2,-2.7,0.786
Iigp1,3.1,0.823
Mtmr9,-1.8,0.729
Snx4,0.77,0.563
RP23-50E10.1,3.2,0.81
Usp7,-0.96,0.612
Cox19,1.4,0.659
RP23-407B23.1,3,0.83
Zfp189,2.3,0.757
Ada,2.9,0.801
Hyls1,2.7,0.823
Zcchc18,3.1,0.83
Plac8,5.5,0.817
Fn1,2.8,0.83
Tab3,-2,0.761
Cfap126,-2.9,0.805
Ttc30a1,2.1,0.769
Ift88,-1.7,0.741
Mettl21a,0.79,0.592
Klf12,-2,0.768
RP24-162O18.3,2.6,0.808
Ccdc15,3.4,0.796
Piga,-2.2,0.762
Akap12,-2.4,0.793
Diaph2,0.9,0.605
Amd1,-1.6,0.748
Iqsec1,2.4,0.808
Pofut2,0.82,0.612
Frs2,-1.4,0.685
Usp37,1.5,0.748
Mpv17l,-1.8,0.733
Hmgn5,2.7,0.82
Dst,-1.1,0.575
Nkrf,3,0.838
Elavl1,0.47,0.5
RP23-219K12.1,3,0.823
Fh1,0.77,0.596
Wdr25,-3,0.805
Slc20a2,2.1,0.78
Phf12,-1.3,0.69
Ccnf,2.7,0.833
Rgs5,-3.3,0.838
Fzd8,2.8,0.782
RP23-50E10.2,3.1,0.828
Apoc1,3.2,0.838
RP24-208N6.2,2.4,0.823
Klhl26,2,0.789
Senp3,-1.4,0.725
Map7d3,2.9,0.823
Hist1h3d,2.8,0.817
Mapre2,-0.58,0.531
Rtl6,-2.2,0.78
Rras,0.88,0.605
RP23-128L22.2,1.7,0.757
Ccdc157,-2.8,0.836
Mrpl39,0.84,0.599
Phkg1,-2.4,0.793
Lrrc8c,2.8,0.831
Lzts2,2.4,0.788
Thbd,2.8,0.845
Ppp2r5e,-1.7,0.728
Snx9,-1.6,0.755
RP23-44N5.3,2.2,0.809
RP23-404I24.3,2.5,0.843
RP23-235I2.3,2.9,0.801
B3galt6,0.99,0.624
Ctnna3,3.1,0.849
Senp8,1.9,0.75
Wsb2,0.86,0.6
Hspa12a,2.6,0.813
Prf1,-3.1,0.848
Calr3,2.8,0.839
Ptpn4,-2.5,0.794
Mccc1,-0.98,0.654
RP23-131A6.1,3,0.85
Acrbp,2.7,0.803
RP23-218L17.1,-1.3,0.69
Cc2d1a,-1.3,0.745
Srl,2.8,0.807
RP24-326O2.1,-1.9,0.756
Gnai1,2.5,0.851
Mmp14,0.82,0.586
Zfp385c,-2.8,0.812
RP23-204A8.1,-2.7,0.823
Slc35b4,0.91,0.605
Sae1,0.93,0.617
Klra8,-3,0.85
Ncor1,-0.5,0.492
Zeb1,-0.84,0.601
Fpr1,3,0.828
Rps16-ps2,1.4,0.757
Gadd45g,-1.2,0.543
Scarb2,0.61,0.523
RP24-67F19.7,2.5,0.829
Trim37,1.8,0.768
Cpne2,2.7,0.823
Wiz,-1.8,0.766
RP23-4P23.3,1.2,0.729
Gnao1,-2.8,0.853
Tctn2,3,0.817
Lrrfip2,-1,0.653
Ptar1,-2.3,0.78
Rif1,-0.87,0.605
RP24-340P22.5,2.7,0.843
Naprt,1.3,0.682
RP24-90K19.4,2.3,0.84
Tk1,2.8,0.808
Cdyl2,2.4,0.77
Nkx6-2,2.6,0.854
Dclk1,-3.1,0.854
Aak1,-1.6,0.718
Tuft1,3.5,0.831
Klrb1b,3.1,0.85
RP23-293K21.3,-2.6,0.85
RP23-7M16.1,-2.6,0.833
Ddx39,0.82,0.577
Cd19,2.7,0.854
Clec11a,2.7,0.854
Fam73a,1.6,0.703
Klre1,-2.7,0.855
Glipr2,2.5,0.853
RP24-98A23.3,2.4,0.821
Top2a,3.5,0.854
Lamc1,2.5,0.854
Cd36,4,0.781
Gjb6,2.9,0.833
Snhg8,1.4,0.682
Cml1,2.2,0.792
Tysnd1,1.1,0.647
Zfp28,2.1,0.768
Noxo1,2.5,0.807
Wwp2,0.87,0.603
RP23-293B11.5,2.7,0.831
Glce,-2.3,0.789
Slc19a2,2.5,0.81
Dnajb6,0.63,0.577
RP23-126O16.1,2.3,0.78
RP23-3J16.1,-2.8,0.816
RP23-168E14.7,-2.7,0.855
Slc16a7,1.1,0.63
RP24-173G12.1,2.6,0.843
C5ar2,-1.2,0.718
Ccbl2,2.6,0.823
Gpr171,2.5,0.844
Wdr7,-1.5,0.741
RP23-459M2.1,-2.1,0.822
Nedd4l,1.7,0.757
RP23-35F19.3,2.6,0.822
Spata7,2.5,0.8
RP23-380F8.3,-2.5,0.855
C4b,2.5,0.792
Ric8b,1.4,0.703
Cenpo,1.1,0.685
Cdca3,2.6,0.859
Ildr1,2.1,0.781
RP23-173N16.6,2.6,0.809
Ccny,-1.1,0.63
Itgal,2.5,0.865
Rad51,2.6,0.863
RP23-225M12.1,2.8,0.844
RP23-239I17.7,-2.3,0.823
Rassf8,-2.5,0.808
Tm4sf1,2.4,0.857
Pdpr,2.5,0.825
Bms1,-1.2,0.707
Paqr8,2.5,0.849
AC116718.1,-2.4,0.785
Fads6,-2.7,0.848
RP23-71J17.1,2.6,0.792
Hdac9,1.6,0.731
Fgfr2,2.3,0.866
Cdpf1,1,0.648
Cyp2u1,2.3,0.844
RP23-303F24.3,2.4,0.843
RP23-231L15.4,-2.5,0.83
RP23-468D17.1,1.4,0.743
Tram2,2.4,0.823
Hnrnpr,0.79,0.6
RP23-241N10.4,-2.4,0.861
Arfgef2,1.6,0.764
Ttr,-2.8,0.807
Dqx1,2.6,0.852
Insig1,1.7,0.755
Nek1,2.2,0.792
Ahnak,2.3,0.853
RP23-72M20.6,2.3,0.87
Rpl22l1,-0.77,0.595
Pygm,2.3,0.853
Zscan20,2.2,0.823
Dpys,2.5,0.875
RP24-316D12.2,2.2,0.844
RP23-292F19.2,2.2,0.833
Tigd5,2.5,0.857
Gdf9,2.3,0.774
Il1rl1,-2,0.788
Gfpt1,-1.2,0.672
Iglc3,2.7,0.869
Kif20a,-2.6,0.859
Zfp219,1.9,0.803
Pdp2,-1.5,0.749
RP23-218C24.1,-2.3,0.843
Scrn3,-0.93,0.619
Chn1,2.6,0.844
Ccdc77,1.7,0.767
RP23-268P6.1,2.6,0.842
RP23-14F5.8,1.9,0.749
Txnl4b,2.1,0.818
Capns2,-2.1,0.796
Wdr53,1.3,0.708
Ifi213,2.8,0.84
Noxred1,2.5,0.86
RP23-3F1.4,-2.8,0.832
Zscan18,-1.6,0.713
Zfp612,2.4,0.855
Hdac4,-1.6,0.752
Maob,2.5,0.865
Purg,2.3,0.848
Prox2,-2.6,0.84
Paqr5,-2.2,0.859
Mir17hg,-2.2,0.793
Fam188a,-0.96,0.637
Alkbh5,-0.92,0.644
Tmem67,-1.9,0.747
Raph1,2.6,0.859
RP23-99D11.4,2.1,0.843
Acot7,2.1,0.794
RP23-463K8.7,2.4,0.848
Apod,3.5,0.843
AC107822.5,2.3,0.854
Fan1,2.6,0.85
Raly,2.4,0.843
RP23-480P21.3,-2.5,0.857
Bhlhb9,1.3,0.685
Plekhh3,-2,0.791
Nrep,-1.2,0.711
Pus7l,2.4,0.812
Grk4,-2.4,0.831
Zfp869,-2.3,0.834
Ndor1,1.4,0.729
Lig3,1.9,0.765
Bmp2,2.8,0.878
Armc6,-1.7,0.781
Cd40,2.6,0.859
Gemin5,2.2,0.795
Itm2a,2.2,0.871
Ogfod1,-2.2,0.803
Il12b,-2.3,0.864
Cdk13,1.8,0.757
Vill,2.3,0.841
Sigirr,2.6,0.859
Wdhd1,2.4,0.863
Adgre5,-2.6,0.871
RP23-370B22.3,-2.3,0.875
Ap5b1,1.9,0.798
Abcc3,-0.92,0.552
Abca2,1.7,0.776
Med14,1.8,0.782
Gstm7,2.4,0.87
Cav2,-1.2,0.707
Pdgfc,2.4,0.866
Efemp2,1.6,0.733
Derl3,-2,0.886
Trps1,-2.2,0.795
Scube1,2.5,0.845
Id3,2.4,0.848
Git2,-0.54,0.51
RP23-102L5.1,2.3,0.859
RP24-500I24.3,-2.5,0.829
Mturn,2.2,0.83
Asb4,2.1,0.889
Esco2,2.2,0.887
RP24-196M16.1,2.3,0.865
Nlrc5,2.1,0.883
St8sia1,2.4,0.817
Prmt6,1.3,0.662
Tns4,2.4,0.839
Zfp850,-2.4,0.859
Klhl11,2.5,0.857
AC114920.2,0.78,0.56
Ms4a1,2.4,0.886
RP23-349H12.7,2.7,0.855
Neb,2.4,0.854
Tcap,4.8,0.882
Lrrc27,2,0.823
Cd5,2.1,0.873
Necap1,0.94,0.605
AC092404.2,-2.2,0.887
Fam122b,-2.4,0.844
Lipt2,2.2,0.792
Chic1,-2.3,0.871
Cd28,2,0.889
Sys1,0.82,0.565
RP23-41I11.9,2.4,0.832
Sgip1,-2.3,0.843
Nfkb1,-0.53,0.525
RP23-440J5.8,-2.2,0.895
RP24-127D13.3,-2,0.859
Plppr4,-2.2,0.866
Cep89,-1.9,0.77
RP23-269E5.5,-2.3,0.882
Vegfa,2.5,0.823
Car14,-2.3,0.88
Rbfox2,-2.1,0.849
Gm3511,1.4,0.78
Slc25a35,1.6,0.808
Asb2,-0.72,0.57
AC139063.2,-2.1,0.805
Slc26a11,2.8,0.838
RP23-379F6.3,-2.5,0.831
Dync2li1,-2,0.878
Mal,2.3,0.903
Olfm1,2.7,0.844
Chml,-1.8,0.786
RP23-83G6.2,1.6,0.76
Slc16a8,2.2,0.889
Lyplal1,3.2,0.85
Svip,1.6,0.737
AC161218.5,2.1,0.903
Gmppb,1.4,0.746
Tnfaip6,2.2,0.898
Xpo5,2.2,0.848
Wars,-0.71,0.582
Gbp7,-1,0.58
Nsun3,-1.8,0.756
RP23-83N17.1,-2,0.882
Xk,-2.1,0.859
RP24-209I7.2,2.8,0.83
Olfr920,1.9,0.906
Mmgt2,0.94,0.652
Zfp276,-1.6,0.717
Acsbg1,2.6,0.875
Iglc2,2.2,0.903
Zbtb5,2,0.801
Clec4b1,2.3,0.889
Gbp8,2.3,0.859
Gstt1,2.2,0.882
Itgb1bp1,0.86,0.594
Hspb6,-2.6,0.842
Zbtb24,0.96,0.63
Tfdp2,-1.5,0.73
Ifitm3,2.1,0.601
Gper1,1.8,0.91
Limch1,-2.1,0.882
RP23-90A8.2,-1.9,0.757
Izumo4,1.8,0.811
Gfod2,2.2,0.823
RP23-267O21.3,1.4,0.741
Plk2,3.8,0.805
RP24-344N22.1,1.9,0.864
Tppp3,2.2,0.895
Adgre4,2.3,0.866
Pcdhga5,1.8,0.906
Cxcl13,5,0.901
RP23-157G2.1,1.7,0.919
Prox1,2.2,0.827
S100a16,2.8,0.865
Ttll7,1.9,0.91
Iqgap2,1.8,0.907
Wdr77,-0.76,0.595
Exoc3l4,-2,0.894
Dtna,1.9,0.892
Hist1h2ac,2.6,0.81
N4bp3,1.9,0.887
Nkain4,2.4,0.907
S100a9,-1.9,0.913
Slco1a4,1.7,0.917
Rc3h2,-1.3,0.693
RP23-310J6.3,1.9,0.843
RP23-38L11.4,1.8,0.906
Sdc2,2,0.898
RP23-85H24.1,-2.4,0.819
Phf13,-1.1,0.681
Cdc6,1.9,0.919
Tcaim,2,0.807
Arhgef39,2.7,0.859
Wwc1,2,0.882
Kcp,-2.4,0.849
Maml1,1.6,0.776
Tex12,1.7,0.923
Pold3,1,0.633
S100a8,-2.1,0.9
Xlr4c,1.8,0.888
Fbxo45,-1.8,0.764
Plod3,0.71,0.58
Lipc,-1.8,0.9
Epdr1,1.6,0.929
Tnfrsf18,1.7,0.908
Atrn,-1.7,0.777
Cd3d,1.7,0.925
Ncr1,-1.9,0.908
Fbxw17,1.6,0.759
Spp1,12,0.888
Zfp626,2.2,0.833
RP24-252G15.3,1.8,0.906
RP23-333A18.2,2.2,0.866
Tra2a,-0.79,0.584
Cxcl9,1.8,0.928
Mpzl1,-1.6,0.926
RP23-213N8.2,2.1,0.85
Polr1b,-1.7,0.776
Clip2,2,0.844
Oas2,1.8,0.907
Ppm1e,1.8,0.893
Ly6d,4.8,0.904
Tnfrsf19,-1.4,0.929
Sdhc,0.48,0.514
Scrg1,1.8,0.913
Rbmx2,-1.3,0.681
Cd3g,1.5,0.928
Cmtm5,2.3,0.898
Crip1,2.3,0.648
Gabrb1,-1.5,0.928
RP24-83P13.2,2.1,0.843
Ifitm6,1.6,0.936
RP23-187B11.6,2.1,0.871
Zufsp,-0.68,0.558
Zc3h12c,2.2,0.81
Phyhipl,2.5,0.866
RP23-365F1.5,1.9,0.87
Cmpk2,2.2,0.887
Trip13,1.8,0.916
Fgf2,1.9,0.875
Mrps5,-1.2,0.679
Igkc,1.9,0.928
Il33,2.9,0.916
Zik1,2.6,0.842
RP23-288L22.4,1.5,0.94
Pdxp,2.1,0.878
Col25a1,1.9,0.875
Zfp608,-1.3,0.708
Pola1,1.8,0.763
Mtbp,2.4,0.843
Lockd,1.6,0.92
Trim23,1.6,0.764
Trbc1,2,0.92
RP23-183D11.6,2.3,0.836
Slc6a1,-2.8,0.866
AC162528.2,1.8,0.829
Reps2,1.4,0.928
Cystm1,-1.9,0.916
Cyp2j6,1.5,0.931
AC123848.4,2,0.898
Rhbdf1,1.7,0.757
RP23-64B8.3,-1.8,0.895
Hsd11b1,-2.8,0.854
Id4,1.9,0.913
Fbxw4,0.68,0.552
Lysmd3,-0.94,0.649
Cenpm,1.3,0.942
Atp8a2,-0.8,0.572
RP24-367P22.1,-1.8,0.886
Hmgb1-ps8,-1.5,0.928
Neat1,-0.99,0.538
Nf1,1.7,0.749
Gzma,-4.5,0.926
AC122462.1,2.5,0.823
Ctla2a,2,0.887
L2hgdh,-1.9,0.801
Slain1,1.3,0.94
Cd55,1.5,0.929
Evi5l,1.8,0.793
Prkcdbp,1.7,0.921
Utp15,-1.1,0.616
Nedd4,1.3,0.943
Slco1c1,2,0.891
AC111086.2,-1.9,0.887
Siah1b,2.5,0.817
Nfib,-2,0.87
Itih5,-1.4,0.942
RP23-291L24.7,2.1,0.843
Usp6nl,-1.9,0.805
Pde4a,-1.6,0.78
RP23-255E18.1,1.6,0.921
Slc39a2,1.8,0.928
RP23-291I2.1,-2.1,0.854
Rnf111,-0.83,0.605
RP23-85A8.1,1.4,0.933
RP23-49C8.7,1.1,0.949
Ppif,1.4,0.773
RP23-7E4.3,1.8,0.92
RP23-448G18.4,-1.1,0.945
RP23-230O9.4,1.9,0.906
Vmac,1.2,0.733
Dennd4c,-1.6,0.784
Fchsd1,-2.1,0.844
Xkr9,-1.3,0.945
Bbs2,2.1,0.811
RP23-446D4.7,-2.2,0.833
Tmtc3,-1.7,0.776
RP23-16H24.5,1.3,0.939
Cdkn2b,2,0.907
Zfp870,1.9,0.799
Slpi,-1,0.951
RP24-86I23.4,-1.1,0.945
Zfp933,1.6,0.771
Icmt,1.7,0.785
March6,-1.3,0.682
Anxa1,-1.4,0.939
Chp2,-1,0.952
Fam171b,-1,0.953
RP23-392K24.4,2,0.885
AC156992.2,-2,0.859
Tspan2,-0.93,0.954
Cep55,0.81,0.96
Ypel1,1.5,0.933
Timmdc1,1.9,0.854
RP24-282D16.9,-1,0.949
Etnppl,-0.95,0.956
Cxcl1,-0.94,0.956
Slc38a3,-2,0.877
Tmeff2,0.81,0.964
RP23-344O11.3,1.4,0.94
Aqp11,-0.96,0.956
Spon1,-1.2,0.945
Pigw,-1.6,0.91
Clasp1,-1.5,0.703
Ccnb1,0.98,0.963
Klrb1c,-1.2,0.945
Ear2,-0.83,0.96
Timp3,2,0.895
Hyal2,-1,0.657
Nudt12,-1.2,0.938
Znrf3,1.8,0.845
Pddc1,-0.88,0.634
RP23-128L22.3,-0.84,0.963
Pllp,0.57,0.975
Ndrg1,0.6,0.975
Aldh1l2,-1.9,0.87
Snap25,2,0.832
2700012I20Rik,-2.2,0.854
Grb14,0.6,0.976
Ing4,1.4,0.939
Rrm2,0.98,0.954
Gpr150,2,0.889
Mog,-0.6,0.975
Ugt8a,-0.57,0.975
Cdkn3,1.6,0.936
Wdr59,1.5,0.919
RP23-119H17.2,-0.92,0.956
Rgcc,1.9,0.907
Fam188b,1.9,0.878
Rlf,-0.9,0.62
Zfp7,-1.3,0.942
Anln,-0.9,0.958
Zfp458,1.8,0.877
RP23-189B9.3,1.8,0.912
Kcnj2,1.3,0.685
Nfatc1,0.72,0.562
RP24-429G21.2,2.1,0.831
Hes5,1,0.954
Slc38a6,-1.3,0.757
RP24-316L14.10,0.27,0.989
Lipt1,-1.9,0.898
Hdac6,-2.2,0.78
Igsf1,0.27,0.989
Ndp,0.27,0.989
Ispd,0.27,0.989
Cdc25c,0.27,0.989
Tspan6,0.27,0.99
Fa2h,0.27,0.99
Lrrn2,0.27,0.99
Hhip,0.27,0.99
Fam83d,0.27,0.99
Nusap1,0.27,0.99
Edil3,0.27,0.99
Clec4e,0.27,0.99
Sfrp5,0.27,0.99
Ube2c,0.27,0.99
Oasl1,0.27,0.99
Gpr37,0.27,0.99
Casc5,0.27,0.99
Serpinb1a,0.27,0.99
Fam64a,0.27,0.99
Olig1,0.27,0.99
Opalin,0.27,0.99
Pfkp,1.7,0.917
Gtf3c1,1.8,0.789
Stmn4,0.21,0.99
Wnk1,-1,0.554
Bloc1s6os,-1.9,0.798
AC123686.3,1.9,0.841
Pclaf,0.82,0.96
Nrsn1,2,0.886
RP24-178N19.2,-0.38,0.984
Atp6v0e2,-0.97,0.949
RP23-16N14.2,-1.9,0.847
RP24-142B15.7,1.4,0.934
Ppp1r1a,-0.64,0.971
Sec24a,-1.4,0.703
RP23-106P6.3,-2.2,0.843
Mdk,1.8,0.878
Asb1,-2,0.843
RP23-392I13.15,2,0.844
Atxn2l,-1.2,0.757
AC093451.2,0.87,0.958
RP24-330M21.1,1.6,0.904
Haus6,2.1,0.813
Plcd4,1.2,0.943
Midn,-1.6,0.823
RP23-293K21.7,-1.9,0.878
RP23-216C6.2,2.1,0.798
Slc33a1,-1.1,0.652
Ermn,0.045,0.997
Setdb2,-1.8,0.78
Ccr6,1.3,0.941
Nip7,0.9,0.612
Prc1,-1.2,0.954
Mdc1,-2,0.833
Tnfsf10,-1.9,0.85
Map3k10,1.7,0.83
Myh10,-2,0.817
RP24-406I15.2,1.5,0.733
Cep131,2,0.855
Shisa4,1.3,0.945
Mis18bp1,1.3,0.945
Med12l,-0.92,0.614
Lpar1,0.11,0.993
Megf8,-1.8,0.81
Erc1,1.8,0.911
Igfbp7,1.5,0.929
Tslp,2,0.828
RP24-470E5.9,-1.4,0.938
RP23-322E23.8,0.033,0.998
Ndc80,-1,0.949
C2cd5,-1.7,0.768
Olr1,0.36,0.984
Zfp438,1.6,0.764
Dusp11,0.62,0.576
Xrcc3,1.4,0.942
RP23-403G9.6,-1.8,0.791
Rabl3,1.7,0.857
Leng9,1.8,0.838
Ppm1j,0.4,0.982
Srgap3,-0.45,0.98
Stat5a,-1.6,0.739
Zbtb10,-1.8,0.863
RP24-259P13.3,1.1,0.945
Gng11,0.24,0.99
Hcar2,1.7,0.816
Ascc3,-0.85,0.607
Surf6,-1,0.679
Pmpca,-0.79,0.575
RP24-227F14.1,-0.48,0.981
Cald1,0.38,0.984
Chil1,0.21,0.99
RP24-96D10.2,2.2,0.843
Cdc42bpa,2.3,0.855
Egfl7,-2,0.843
Cage1,-2,0.839
Gm3608,1.2,0.791
Lrrc56,-2.1,0.854
Slx4,1.6,0.794
RP24-544J6.4,1.8,0.803
RP23-347F4.1,1.1,0.667
Slc22a21,-1.7,0.864
Spdl1,-1.3,0.941
Zmat3,0.89,0.95
Adamts6,0.71,0.964
Ccdc43,-1,0.635
Il23a,1.6,0.91
Irf7,1.9,0.823
Borcs6,-1.1,0.757
Zfp825,-1.7,0.794
D130007C19Rik,1.4,0.926
Gabrg1,0.68,0.973
Ddah1,1.6,0.922
RP23-397H18.5,-1.6,0.907
Vtn,0.0015,1
Nr4a2,1.2,0.945
Pcmtd2,-0.82,0.58
Gzmb,-0.45,0.982
Zpbp,1.2,0.945
Napsa,1.4,0.953
RP23-74N13.2,2,0.873
RP24-482L4.2,0.99,0.948
RP24-109N11.4,-2,0.843
RP23-232K16.4,0.041,0.997
Map4k1,-1.6,0.911
Dcp1b,1.5,0.77
Jph3,2.3,0.835
Arxes2,1.3,0.949
Fasl,-0.92,0.958
Col15a1,1.7,0.871
Pbk,0.5,0.981
