gene_name,logFC,adj.P.Val
Ppp1ca,0.36,0.222
Oxsr1,-1.6,0.459
Prosc,-0.61,0.318
RP23-24J10.5,1.6,0.464
Med1,-0.88,0.377
Tmem80,1.4,0.463
Dhx37,2.5,0.458
Polr2g,0.58,0.269
Cited4,4,0.407
Xlr4a,3.6,0.425
Ddb1,0.66,0.349
Ndufaf6,-0.93,0.387
Zfp1,2.2,0.469
Cdc16,0.53,0.311
Dnaaf2,2.5,0.459
Shb,2.2,0.459
AC161037.2,-2.6,0.456
Mtg1,1.5,0.453
RP24-227O16.1,-1.8,0.47
Prr3,1.4,0.441
Ethe1,0.64,0.343
Ppih,1.4,0.463
Mobp,3.7,0.463
Trmt10b,1.5,0.463
Cercam,2.5,0.46
Nlrc5,3.8,0.411
N4bp3,3.6,0.425
Tmem106c,0.95,0.439
Paqr8,3.7,0.425
S100b,3,0.465
Tor1a,-0.44,0.269
Enpp5,-1,0.428
Haus2,-1.1,0.414
RP23-54G12.5,4,0.419
Tnni2,1,0.432
Hdac5,-0.69,0.362
Tnfrsf12a,-1.1,0.408
N4bp2l1,-0.49,0.277
RP24-227F14.5,-2.4,0.459
Rasl11a,3.9,0.429
Cldn10,4.8,0.454
Zfp658,-0.76,0.362
Spg21,0.54,0.276
Slc39a13,0.79,0.387
Rnf145,-0.6,0.306
Esyt2,-1.1,0.419
Ttl,-2,0.472
Amigo1,-2.6,0.465
RP23-313I4.3,3.8,0.433
Cryab,4.2,0.478
Kif20b,4,0.434
Lca5l,1.3,0.449
RP24-113L10.2,-2.1,0.477
Pigw,3.7,0.424
RP23-349B4.7,2.9,0.461
Psma8,2.2,0.477
Cers4,-2.2,0.477
RP24-209I7.2,3.7,0.459
Crebl2,-2.3,0.476
Pitpnm1,-1.1,0.434
Jph3,3,0.473
Wasl,-0.8,0.359
S100a16,4.7,0.438
RP24-123O20.1,3.2,0.455
Mlst8,3.7,0.437
Lilrb4a,3.2,0.444
Msi2,-1.8,0.474
Pofut1,-1.6,0.478
Nit2,0.86,0.389
RP24-100B13.1,1.3,0.439
Phyhipl,4.2,0.44
Sesn3,3.7,0.434
Zranb3,-2.5,0.478
Palb2,4,0.441
Zfp994,-1,0.401
Rmnd5a,-1.3,0.451
Scyl2,-1.3,0.459
Rab5c,1.2,0.462
Ermard,-0.73,0.386
RP24-276C17.2,2.6,0.473
Apoc4,4,0.426
RP23-128C4.4,2.5,0.474
Timp3,3.8,0.443
RP24-271F24.2,-1.3,0.44
Tlr5,-2.6,0.474
Ndc80,3.9,0.426
RP23-151C5.1,3.4,0.442
RP24-90K19.4,3.1,0.44
Tmem2,-2.4,0.48
Ggact,2.4,0.477
Zfp169,-2.5,0.474
RP24-417N13.7,3,0.465
Klf15,2.6,0.474
Tctex1d4,3.6,0.445
Fhod1,1.6,0.483
Mrps36,1.1,0.463
Gltscr1,-1.8,0.483
Gm10644,3.8,0.445
Creld2,0.5,0.306
Hist1h4c,2.4,0.482
Gabrg1,4.1,0.44
Chaf1b,4.1,0.443
Mfsd1,0.4,0.261
Gtf3c5,-1.6,0.444
Arhgef39,4.3,0.448
Cep19,3,0.474
Zfp617,-1.4,0.477
Slc29a2,3.9,0.445
Erc1,4,0.443
Zfp704,2.6,0.482
Mblac2,2.4,0.484
Neurl4,-2.2,0.484
RP23-7E4.4,-3.1,0.469
Tmem47,3.1,0.469
Mbtd1,-1.3,0.437
Ptpra,0.35,0.248
Cyp2u1,3.2,0.448
Vav2,-0.89,0.371
RP23-197O15.5,2.3,0.477
RP23-20F10.1,4,0.439
Usp20,-1.3,0.468
Ppp1r3b,-0.96,0.388
Pafah1b3,0.65,0.341
Fam219a,2.9,0.469
Ntsr2,2.8,0.482
Tm2d2,0.4,0.251
WI1-2736D10.2,2.2,0.487
Med16,-0.84,0.405
RP24-230L5.3,2.8,0.482
Zfp429,-1.3,0.436
Cenpl,2.2,0.487
Cep76,-2.5,0.477
Polg2,-1.2,0.453
Map1b,3.2,0.452
Myl2,-0.81,0.379
Grasp,-2.3,0.487
Epb41l5,3.4,0.453
Lig3,1.9,0.487
Cdk13,1.8,0.485
Rrp7a,0.82,0.402
Mgst1,4.4,0.457
Ascl2,2.8,0.478
Arhgap27os3,3.2,0.476
Slc7a8,-0.48,0.256
RP23-317N1.2,2.1,0.489
Cdpf1,0.86,0.404
RP23-180L12.1,-0.65,0.339
Sema4c,-1.3,0.477
CH25-309J2.2,3.4,0.463
Zfp930,1.8,0.489
RP24-499A8.3,1.3,0.477
Prdm15,-2,0.487
Rbm4,-2.2,0.492
Gtf2h3,3.5,0.487
Mlph,-0.56,0.322
Per3,-1.4,0.488
Dusp10,-2.3,0.492
Omg,4.2,0.461
Gatsl3,1.4,0.45
Lgi2,6.3,0.456
Sap30bp,0.73,0.384
Spata24,2.8,0.476
Gpnmb,10,0.462
Otub2,3.3,0.461
Ppm1j,3.6,0.449
Gadl1,-2.4,0.492
Mrpl46,0.94,0.396
Gm26890,-2.2,0.492
Bloc1s3,-1.8,0.492
Ndrg1,3.8,0.45
Qars,-1,0.419
Emd,1.3,0.478
Lrrc56,-2.7,0.492
Ahrr,-3.2,0.469
Chd6,-0.77,0.358
Rbms1,0.82,0.36
Nostrin,3.9,0.465
Il18bp,3.9,0.465
Dennd1b,-0.95,0.421
Ahnak2,3.8,0.458
Scai,3,0.483
Wdr70,0.85,0.404
AC165086.3,0.47,0.283
Nkx6-2,3.5,0.459
Rnf40,-0.86,0.413
Jam2,0.48,0.291
Yae1d1,1,0.458
Gnb5,2.9,0.492
Abat,-2.6,0.493
Blmh,0.76,0.37
Nap1l1,0.82,0.379
Tcf19,3.5,0.468
RP23-459L15.7,-0.89,0.382
Tmem184c,-0.83,0.387
Snx2,0.47,0.272
Zfp524,1.1,0.451
Mrps35,-0.75,0.363
Slc1a5,1.3,0.469
RP23-474B13.2,-2.6,0.495
Dnajc16,1.8,0.498
RP24-98A23.3,2.6,0.491
Enpp2,4.1,0.474
Stamos,2.9,0.49
Angptl3,2.9,0.49
RP23-38L11.1,-3.2,0.475
Cuedc2,0.48,0.3
ZNF654,-0.82,0.425
Naip5,-0.85,0.395
Grm3,2.9,0.489
Plcb2,-1.1,0.433
Abi3bp,3.9,0.464
RP24-547D11.3,-2.5,0.492
Aspscr1,1.8,0.502
Bpgm,1,0.451
Abcb9,2.5,0.492
RP23-68O7.2,2.2,0.503
Dync2h1,-1.6,0.493
Poc1b,-0.72,0.38
F9,-1.1,0.439
Cdc45,3.2,0.484
Hebp1,2,0.499
Cacfd1,2.6,0.499
Bmpr2,-0.81,0.379
Pwwp2b,1.3,0.484
Psmc4,0.47,0.289
Cetn4,-1.3,0.461
Mief2,2.3,0.501
Dact1,2.3,0.504
RP23-226A4.5,-2.2,0.503
Lrrc59,0.52,0.308
Rfwd2,-0.91,0.439
Erich1,-0.82,0.387
Paqr5,-2.9,0.484
RP23-23B10.4,3.2,0.479
Tsacc,2.2,0.503
Dhx57,-1.1,0.439
Zc3h18,-1.3,0.453
G0s2,2.9,0.5
Prpf38a,-0.7,0.36
Cnot7,0.94,0.378
Vangl1,2.1,0.506
Pdgfc,3.7,0.477
Hist1h1e,1.9,0.439
Ccdc181,1.3,0.492
Sept4,3.6,0.507
Gstt1,3.6,0.483
Etf1,-0.59,0.319
Slc2a3,3.4,0.487
Triqk,3.7,0.487
2010015M23Rik,3.2,0.49
Rere,-1,0.396
Adam10,-0.46,0.267
Cdc42bpa,3,0.506
Fam174a,0.52,0.293
Sall3,-0.85,0.365
Vdac2,0.36,0.252
Asb1,2.3,0.509
Slc26a11,3.9,0.492
RP23-406N5.8,2,0.51
Nfxl1,-0.74,0.379
Shroom1,-1.8,0.505
Pltp,1.8,0.505
RP23-349H12.7,3.9,0.489
Asf1b,3.6,0.511
Cpne2,3.4,0.491
Ntrk3,-3,0.499
Rbm41,2.4,0.511
RP23-117H14.1,3.7,0.492
Ccnd3,-0.64,0.33
Rrp12,2.4,0.509
Cmip,-0.7,0.356
Taco1,2.4,0.51
Abca7,1.9,0.514
Lgalsl,3.1,0.493
AC134827.3,-1.4,0.474
Pcyt2,0.75,0.397
Eya3,2.6,0.514
Gng11,3.6,0.486
Mgea5,-0.69,0.349
Dars2,-1.3,0.454
Cnbd2,2.7,0.505
Rpl14-ps1,1.1,0.503
RP24-77I21.3,2.4,0.514
Ccdc152,-1.4,0.512
Fndc7,-2.2,0.515
Tslp,2.5,0.514
Hepacam,3.1,0.495
Ift172,1.3,0.501
Mospd1,0.99,0.435
Rqcd1,1.3,0.486
Agap1,3.2,0.501
Nat2,-1.8,0.51
Rhot2,-1.7,0.513
Mir99ahg,-0.55,0.301
RP23-153M14.8,0.8,0.352
Slamf8,1.1,0.428
Poll,1.8,0.514
Gfod2,-2.4,0.515
RP23-413D14.9,2.8,0.498
Mgat2,-0.51,0.269
Cul3,-0.57,0.306
RP24-212D8.2,2.3,0.516
Rcn3,1.8,0.514
Cux1,0.53,0.32
Serpinb6b,3.9,0.492
Eloa,-0.48,0.283
Mex3d,2.5,0.509
Pik3r2,-0.75,0.412
RP23-383F20.7,-2.5,0.518
Mtm1,-1.1,0.445
Asb11,4.4,0.496
Zfp275,-1.6,0.503
Prdm9,-2.1,0.518
R3hcc1l,0.7,0.384
Zbed5,-2,0.506
Pcdhga5,3.2,0.501
RP24-176F12.14,0.61,0.371
Pcp4,1.6,0.514
RP23-366E1.3,-2.3,0.519
Cdk17,0.98,0.449
RP23-4H17.1,2.2,0.519
Ddx19a,-1.1,0.483
Cd14,0.59,0.21
Pygl,1.4,0.49
Oasl2,2,0.511
Clec10a,2.9,0.52
Fam171b,3.5,0.498
Zfp689,3.1,0.508
Cep104,2.2,0.52
Pigh,0.75,0.379
Dhx35,-1.1,0.457
Mkln1os,-2.4,0.52
Cep250,1,0.458
Prkcdbp,3.4,0.509
Arxes2,3.6,0.514
Sugp1,0.78,0.413
RP24-218K1.3,1.5,0.514
Aatk,-2.5,0.519
RP23-414P13.3,3.5,0.51
Fndc4,2.8,0.522
Fbxo6,0.48,0.318
Zfand3,-1.4,0.479
Shisa4,3.5,0.511
Psma7,0.35,0.246
Cnn3,4,0.525
Parp3,-1.4,0.492
Cpeb4,-1.6,0.508
Atp1a2,1.3,0.474
Mgll,-0.51,0.313
Oscp1,1.6,0.514
RP23-349H12.3,-2.5,0.521
Chmp2a,0.4,0.267
Gpd2,2.1,0.522
Ptafr,-0.72,0.351
Ramp2,-1.9,0.52
Lrmda,0.79,0.424
RP24-352B14.1,1.3,0.523
Clcn5,2,0.525
Cck,4.3,0.51
Gtpbp3,-1.5,0.492
RP23-25N17.6,3.5,0.514
Inca1,-2.7,0.524
Raph1,3.2,0.519
Harbi1,1.9,0.524
RP24-170A20.3,2,0.522
RP24-302M13.5,3.5,0.515
Rad51b,1.9,0.525
Pmm1,1.2,0.459
AC140190.2,-1.9,0.524
Mipol1,-2,0.523
Glce,-1.8,0.519
Mecp2,-0.71,0.376
Itpr1,2.3,0.526
Atf7,-1,0.452
Tmem53,3.2,0.515
Stxbp3,-0.52,0.31
Tm7sf2,3,0.525
RP23-408A1.1,-1.7,0.513
AC093451.2,3.5,0.512
Trip13,3.5,0.514
Nsrp1,0.68,0.346
Pcyox1l,1.1,0.478
Cfap36,0.93,0.419
Gpr37l1,5,0.532
Tbc1d12,2.1,0.528
RP23-17K9.18,2.3,0.529
Pus1,1.5,0.522
Stam,1,0.451
Mir155hg,3.8,0.523
Slc18b1,0.95,0.446
RP24-500I24.6,2.9,0.526
Ifit1,2.6,0.529
Igsf1,3.2,0.514
RP23-231L15.4,-2.7,0.529
Ctnnd1,-0.83,0.423
Tmod2,3.1,0.522
Klhl11,3.5,0.52
Ptpn9,1.4,0.524
Fam129b,1.6,0.521
Lancl1,0.82,0.386
Ddx28,1.2,0.476
Hist4h4,-1.6,0.518
RP23-165H7.2,3.3,0.522
Tsen2,1.1,0.478
Acads,-1,0.505
Fam149a,2.4,0.531
Pctp,-0.67,0.407
Chac2,-1.6,0.522
Pml,1.5,0.518
Ski,-0.78,0.351
Vegfa,2.5,0.534
Ddb2,-0.98,0.44
Aar2,1.1,0.461
Gtf2h4,2,0.529
Zfp605,2.4,0.534
Bub3,0.38,0.268
Tcea1,0.77,0.45
Spata7,2.5,0.534
RP23-219K12.1,3.3,0.525
Procr,1.7,0.526
Cmpk2,3.5,0.525
Acadm,-0.47,0.303
RP24-542M6.2,2,0.534
Fmnl2,-1.4,0.495
Rgs18,3.6,0.527
Srr,1.5,0.52
Smim19,0.6,0.357
Cox10,1.2,0.489
Trp53rkb,-1.1,0.486
Aldh18a1,-0.81,0.425
Ctnna3,3.6,0.525
Fgfr3,2.9,0.529
Parp14,0.95,0.419
Trit1,-0.62,0.371
Pbdc1,0.64,0.353
Sh3bgrl2,2.3,0.536
Dhfr,2.3,0.536
Clec12a,2.5,0.536
Ppm1h,-0.89,0.414
Purg,2.9,0.531
Bora,-1.8,0.524
Csf2rb2,-1.5,0.513
Bzw2,-0.82,0.397
Cdk10,-0.72,0.38
Mrpl12,0.63,0.353
Ropn1l,2.1,0.536
F3,2.1,0.533
Usp50,1.3,0.534
Trim13,-0.83,0.441
Cbr2,2.5,0.499
AC162528.2,2,0.541
Bod1,-0.67,0.375
Xrcc2,2.3,0.541
Ddx19b,1.7,0.535
Ranbp3l,3.3,0.532
Vstm4,3.4,0.534
Smo,1.7,0.537
Iigp1,3.2,0.536
Nupr1l,3.8,0.535
Gpm6b,2.1,0.503
Arhgef4,-1.5,0.5
Shkbp1,-0.83,0.423
Pld1,-0.54,0.33
RP23-374K9.4,-1.9,0.54
Cd80,2.2,0.545
Ntrk2,3,0.545
Sh3bp5l,-0.99,0.474
Cdkn2c,1.4,0.492
RP23-175C13.1,1.3,0.539
Cdk18,2.2,0.546
Kcnk1,3.1,0.545
RP23-331E5.10,2.3,0.546
Zfp369,-1.2,0.514
Prkaca,-0.65,0.4
Unc119,3.1,0.541
Pim1,-1.7,0.54
Khsrp,-1.8,0.539
Slc4a4,2.6,0.547
Apc,-0.86,0.389
Ttr,-3.3,0.547
Dgke,3,0.544
Cdk11b,-0.47,0.302
Znrf2,-0.65,0.322
RP23-314N18.4,1.1,0.494
Kctd7,-2.5,0.547
Zfp937,2.5,0.547
Myo18b,-1.2,0.519
C3,3.1,0.543
Tmem170b,-0.6,0.371
Gm10762,1.4,0.514
Ly6k,3.7,0.544
Cenpa,5.1,0.549
Rnaset2b,0.47,0.283
RP23-27C10.2,2.1,0.546
Mpzl1,3.3,0.542
Pds5a,-0.8,0.419
Ccr3,3.1,0.546
AC161108.3,0.94,0.463
Tfb1m,-1.8,0.49
Camk2g,-1.1,0.493
Cyp4f18,2.7,0.55
Ambra1,-1.4,0.525
Kif9,1.7,0.543
RP23-35F19.3,2.9,0.549
Zfp964,2.5,0.551
Hist1h2be,1.5,0.517
Iqgap2,3,0.546
Pdia3,0.44,0.27
Vamp1,2.9,0.549
Atp2a2,-0.57,0.356
Il12rb2,3.4,0.548
Rftn2,3,0.548
Nat1,3.3,0.549
Dhrs13,3.1,0.549
Atad5,3.2,0.551
Stim1,-1.2,0.478
Ccdc18,-3.1,0.552
Cmya5,-1.8,0.528
RP23-155A10.1,0.81,0.425
Lpar1,3,0.547
Mapt,3,0.552
Rita1,2.3,0.554
Zfp318,1.3,0.52
Hspa4l,2.5,0.552
Lgals3,10,0.558
RP23-323H18.2,2.3,0.555
Bace1,2.1,0.555
Zfp41,2.4,0.552
Slc16a10,1.4,0.541
Stat2,1.1,0.478
Spns2,1,0.511
Ifit3,7.8,0.559
Bin1,-0.33,0.241
Tdrkh,0.96,0.458
Cdk4,0.54,0.372
Pcp4l1,3.4,0.554
Smc4,-1.1,0.443
Sdhaf3,1.8,0.54
Arap1,-0.65,0.379
Tagln3,3.1,0.557
Efr3b,2.9,0.554
Xrcc1,0.84,0.434
Ift74,1.4,0.493
Zbtb45,0.97,0.49
Agfg1,-0.56,0.348
Ppp6c,-0.46,0.32
Lacc1,-0.53,0.313
Tada2a,-1.1,0.468
Zfp30,-1.6,0.529
Uggt2,3.3,0.557
Vprbp,-1.3,0.524
Nuak1,-0.74,0.378
Efcab2,1.6,0.552
Cdkn2b,3.5,0.557
RP23-228H14.6,3,0.557
Gnao1,3.2,0.557
Tex14,-1.9,0.552
RP24-502H6.2,2.9,0.559
Rgp1,2.7,0.561
Trim30b,2.5,0.559
Sec13,0.4,0.267
Sdc3,1.1,0.482
RP23-440J5.8,3.3,0.558
Dhx40,1.2,0.529
Rhbdf2,-1.3,0.509
Galnt6,3,0.559
Osgepl1,-0.76,0.428
Ftsj2,2.2,0.562
Hcfc1r1,0.55,0.35
Tnpo2,-1.6,0.54
Rpl27-ps2,3.1,0.563
Ispd,3,0.562
Atp9a,-2.4,0.565
Atg13,0.98,0.483
Zfp446,3.1,0.564
Ppme1,1.4,0.535
Fam131a,-1.2,0.509
Cytip,2.4,0.558
Ercc4,-1.1,0.492
Gm10073,1.2,0.535
Lamb2,1.4,0.538
RP23-3F1.4,-3.1,0.567
Psmg4,0.76,0.401
Arl4d,-1.8,0.52
Ola1,0.85,0.432
Xpo5,2.5,0.567
Xxylt1,-1.6,0.546
Cog2,-0.71,0.387
Rgs5,3.5,0.566
Lrrc8b,3.1,0.567
Lrrn2,3.1,0.567
Tysnd1,0.93,0.441
Sepw1,1.3,0.549
Spata5,0.88,0.45
Trappc3,0.6,0.397
Smim24,2.5,0.567
Slc16a8,3.2,0.568
RP23-446D4.7,-2.2,0.562
Adat2,-2.1,0.562
Tigd5,2.9,0.569
Lonp2,-0.54,0.332
RP23-312B17.1,-2.6,0.57
Rpa2,1.1,0.492
Coro2a,1.3,0.533
Dpy30,-0.5,0.303
Setx,-0.97,0.465
Tlcd1,2,0.56
Pex26,-1.9,0.566
Suv420h2,-0.8,0.474
Zc3h6,1.7,0.552
RP23-411N10.2,2.9,0.573
Spred2,2.6,0.573
RP23-230I5.2,-1.7,0.559
Zfp692,1.8,0.56
Chd1,-0.53,0.31
Ncor2,1.8,0.565
Tmem131,-0.84,0.45
Tor3a,0.51,0.31
Hspa2,2.6,0.574
Usp11,-0.9,0.474
Mars2,2.3,0.571
Crebzf,-0.94,0.47
Sertad3,-0.69,0.373
Gtpbp10,-1.3,0.536
Pdlim5,-0.82,0.449
Sept9,1.7,0.569
RP23-58B7.2,1.1,0.534
Nnat,1.4,0.523
Hacd4,0.66,0.367
Zfp619,2.2,0.574
Ccr1,-2.4,0.474
Trappc8,-0.89,0.439
Fam175b,-0.5,0.325
Kif13a,1.9,0.556
Mmp12,6.6,0.587
Pear1,1.5,0.554
RP23-127O4.8,3.2,0.58
Scrg1,2.9,0.58
Cdkn3,3.3,0.581
Thap8,2.2,0.573
RP23-393I12.5,2.1,0.574
Poc1a,-1.9,0.557
Rbx1,0.41,0.262
Fa2h,3,0.583
Crtc1,2.6,0.581
Homer3,1.5,0.55
Dact3,2.3,0.579
Sec14l1,-0.53,0.319
Nme6,0.94,0.432
Txnrd1,-0.64,0.386
Car9,3.4,0.584
Sf3b3,-0.61,0.348
Xlr4c,2.7,0.584
Opalin,3.5,0.586
RP23-332P1.1,1.9,0.575
Zfp52,1.6,0.552
AC127594.2,2.1,0.582
Tmem156,-1.2,0.525
RP23-338P12.2,2.2,0.581
Trmt5,1,0.504
Brd8,0.7,0.375
Aldoc,5.6,0.557
RP23-451A12.1,-2.8,0.586
Igf1r,-1.4,0.515
Abhd14b,-1.1,0.517
RP23-380L19.3,-1.9,0.546
Fabp7,3,0.588
Rpgr,2.1,0.577
Mapk8,-0.95,0.474
Zdhhc21,-1.3,0.531
Pgap1,2.9,0.591
Zfp647,-2.5,0.587
Car2,6.6,0.594
Pgp,0.59,0.355
AC157667.1,2.7,0.593
RP23-379C24.2,-2.3,0.592
Smc2,1.1,0.469
RP23-192P17.3,-0.58,0.324
Adgre4,2.8,0.594
Rptoros,3,0.594
Slc35g1,2.9,0.594
Ttc28,-0.93,0.448
Sfrp5,3.1,0.598
Zcchc14,-1.4,0.529
Btbd8,2,0.584
Dclk1,3.3,0.598
RP23-370B22.3,3,0.598
Cyb5r4,-0.7,0.418
Ly96,0.64,0.394
Taf6l,0.44,0.276
Zfp282,2.1,0.587
Zfp943,0.87,0.458
Ppp6r2,-1.4,0.547
Mdk,2.2,0.592
Rrp9,1.1,0.495
Piezo1,-0.95,0.459
Esr1,2.9,0.598
Tcap,6,0.61
Srxn1,2.4,0.584
Rfx3,-1.9,0.575
Borcs8,1.1,0.508
Zfp65,-1.5,0.559
Epor,2.1,0.589
Pms2,-1.1,0.508
Zfp652,-0.69,0.374
Pikfyve,1.6,0.555
Tpk1,-1.1,0.503
RP23-365F1.5,2.5,0.601
Ano6,-0.78,0.404
Mrpl14,0.68,0.365
Zfp953,2.8,0.602
Slco1c1,2.8,0.602
Mlkl,-2.4,0.601
RP24-155O13.4,-0.9,0.462
RP23-467K15.2,-1.8,0.573
RP23-19I2.7,-1.7,0.547
Slc25a18,2.1,0.59
Sptbn1,2.4,0.591
RP23-241N10.4,2.8,0.607
Rcan3,-0.99,0.489
Plbd1,-4.1,0.595
Msh5,-2.3,0.598
RP23-459L15.8,-2.2,0.598
Dennd2d,2.4,0.601
RP24-512K3.7,2.3,0.606
Itgal,2.8,0.61
Rad9a,-0.69,0.387
Tmem42,0.72,0.397
RP23-99O13.6,2.7,0.607
Dagla,-1.7,0.561
Ncam1,2.2,0.606
Csf1r,-0.49,0.195
Ube3a,-0.53,0.321
C1galt1,-2.3,0.573
Mrps22,1.1,0.478
Nhp2,0.53,0.324
RP24-95J4.3,2.2,0.599
Jmy,2.3,0.596
Prep,1,0.489
Syne2,3.1,0.609
Neb,-2.5,0.606
Mapk1ip1l,-0.92,0.492
Fem1b,0.98,0.492
Pak2,-0.51,0.32
RP23-127E21.1,-0.73,0.424
Chil1,2.9,0.616
Cyp2j6,2.7,0.614
Smim4,0.95,0.443
Hhat,1.8,0.582
RP23-432N1.7,-2,0.597
Spata6,1.8,0.584
Atraid,0.35,0.268
Zc3h4,-1.2,0.493
Ulk4,-1.8,0.595
Rps3,0.36,0.252
Grb14,2.8,0.62
RP23-189B9.3,3,0.619
Enthd2,1.7,0.582
RP23-188F24.2,1.6,0.598
AC171273.3,2.4,0.61
Rpl27a,0.54,0.357
RP23-327M1.1,-1.7,0.557
Tab3,-1.5,0.567
Pla2g12a,0.62,0.375
Sap130,1.7,0.595
Cenpt,-1.7,0.565
Zfp667,3.5,0.619
Il33,4.3,0.624
L2hgdh,-1.7,0.574
Olig1,3.2,0.624
Wdhd1,2.7,0.62
Svip,1.3,0.531
Fat3,-1.8,0.591
RP24-367P22.1,-2.4,0.621
Isg20,1.1,0.489
Sdc2,2.6,0.622
Zbtb4,-1,0.453
Farp2,-2,0.605
Fzd5,2.2,0.609
Cenpn,3,0.626
Gap43,2.6,0.624
Racgap1,2.9,0.62
Zscan18,-1.2,0.498
RP24-374M24.2,-2.3,0.609
Zadh2,2.4,0.593
Chn1,2.7,0.625
Etohd2,-1.4,0.554
Paip2b,-1.5,0.575
Uqcrq,0.47,0.279
Mvp,-0.53,0.356
Xrcc3,3,0.633
Mbd6,1.5,0.567
Use1,0.48,0.335
Fancb,-1.6,0.586
Ttyh3,-1.1,0.516
RP23-239I17.7,2.1,0.615
Atp7a,-0.8,0.392
Elovl7,2.8,0.636
St6galnac6,-1.3,0.559
Timd4,2.8,0.628
Tnfaip2,-0.75,0.343
Ocrl,-1.9,0.597
Acad9,-1.3,0.561
AC116151.2,2.2,0.611
Nipbl,-0.6,0.337
RP23-6I17.1,-2.2,0.597
Zbtb40,-2,0.603
Slc1a2,2.2,0.593
Fam216a,-1.2,0.503
RP23-329K17.1,-0.79,0.416
Zfp687,-1.3,0.552
Alg10b,-2.2,0.61
RP23-322E20.6,-2.7,0.626
RP24-155O13.2,2.5,0.627
AC102483.1,0.68,0.463
Kcnk13,-0.45,0.304
Ythdc2,1.5,0.574
RP23-465M17.2,2,0.605
RP24-483G17.1,1.1,0.515
Dusp22,-0.69,0.4
Cdca8,3.1,0.638
Igip,-2,0.59
Setmar,-1.4,0.549
Ccdc162,-1.1,0.525
RP24-428N8.5,2.2,0.6
Cnnm3,-1,0.509
Gpr150,2.6,0.639
RP23-286M3.4,1.6,0.61
Klhl42,-1.4,0.559
Zfp248,-2,0.611
Ppp2cb,-0.52,0.389
Ric1,1.9,0.609
Mvd,1.3,0.545
Phb,0.64,0.401
Dusp3,0.9,0.486
Pnrc1,-0.41,0.247
Mblac1,-2,0.584
Gpr19,2.5,0.63
Sdk1,2.3,0.643
RP23-389F23.3,2.3,0.634
Gamt,1.1,0.472
Tpmt,2.7,0.617
Ndufb11,0.46,0.307
Fblim1,1.1,0.529
Cfap74,-0.74,0.463
Depdc5,-1.3,0.545
Slc16a9,-1.9,0.619
Zdhhc16,0.75,0.416
Tmem120b,1.2,0.552
Mrpl47,0.91,0.477
Rfx7,-1.3,0.539
RP24-500I24.3,-2.4,0.63
Acaca,1.8,0.617
RP23-354E8.2,2.4,0.648
Plpp2,1.7,0.591
Cryz,1,0.527
Rsf1,-0.62,0.371
Rgcc,2.7,0.651
RP24-470E5.9,2.7,0.66
Dph6,0.89,0.458
Dbx2,2.7,0.651
Wfdc17,2,0.356
Itpripl2,1.2,0.531
Ifitm6,2.8,0.66
Mx2,2,0.624
Ripk3,1.6,0.57
Cdc6,2.8,0.662
Napsa,3.3,0.654
Hmgcr,1.2,0.55
Lancl2,2.4,0.656
Paqr4,2,0.601
Tmem143,1.8,0.606
Rcn1,0.99,0.514
RP23-16D16.13,-2.2,0.641
Fntb,1.9,0.626
Gatsl2,-2.3,0.636
Anapc16,0.59,0.364
Stmn4,2.6,0.664
Mex3c,-0.9,0.468
Tspan6,2.5,0.666
Cln6,1.5,0.601
Llgl2,-2.1,0.633
Zscan20,-2,0.637
RP23-443N7.2,-0.8,0.443
Sat2,1.9,0.614
Adgrg5,2.3,0.669
RP23-73B23.4,0.41,0.301
Sf3b5,0.5,0.343
RP23-167C5.1,-1.8,0.585
Tbp,0.65,0.388
Tcaim,1.7,0.606
Pomc,1.9,0.602
Bbs5,1.6,0.606
Ascc1,0.78,0.445
Ptpn4,-2.1,0.63
Nap1l5,2.2,0.641
Asah2,-1.9,0.622
Phactr1,1.2,0.492
Zfp780b,-0.99,0.535
Spef2,-2.3,0.653
RP23-448G18.4,2.3,0.671
Dgkq,2,0.635
RP23-407I6.6,2.2,0.641
Dnajc27,1.7,0.631
Mlc1,2,0.636
RP24-179P9.2,2.4,0.663
Pramef8,1.2,0.525
AC161218.5,2.7,0.673
Cd300ld,1.9,0.613
Mettl8,1.2,0.552
Rassf8,1.9,0.611
Hspa12a,2.1,0.646
Ncf1,-0.4,0.269
Iqck,2.4,0.663
Ndufc2,0.39,0.274
RP23-139J18.1,1.6,0.618
Mx1,-1.8,0.587
Aspa,2.7,0.67
Sash1,2,0.628
Lamc1,2.3,0.679
RP23-314A12.1,-0.52,0.348
Srebf2,1.3,0.575
Zfx,-0.59,0.372
Carf,2.1,0.64
RP23-102H7.7,-2,0.647
Slc25a13,1.7,0.606
Mybph,1.9,0.649
Sh2d3c,0.9,0.493
Mis18bp1,2.7,0.67
Ccl27a,1.8,0.638
Jmjd6,-0.58,0.354
Exd2,-0.77,0.425
RP24-67F19.7,2.1,0.669
RP23-26N21.2,2.4,0.66
RP24-146I24.6,2.1,0.684
Parp4,-1.2,0.57
Il7r,1.2,0.535
Eif3k,0.47,0.325
Higd2a,0.53,0.322
Rrp36,0.6,0.397
Itsn1,1.5,0.595
Gmppb,1.1,0.551
Pycr1,2.4,0.671
Sec24c,-0.66,0.365
Calcrl,-1.3,0.541
Hyls1,2.1,0.683
Stmn1,0.94,0.524
